file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x0D7C8,bank0,0xD7C8,sjmp,2,0xD4,0xD79E,0x0D79E,yes,entry,24,0,,
0x0D7D0,bank0,0xD7D0,sjmp,2,0xC8,0xD79A,0x0D79A,yes,entry,24,0,,
0x0D7D8,bank0,0xD7D8,jbc,3,0x20,0xD7FB,0x0D7FB,yes,other,0,24,,
0x0D7DA,bank0,0xD7DA,jb,3,0x03,0xD7E0,0x0D7E0,yes,entry,23,1,,
0x0D7E0,bank0,0xD7E0,jb,3,0x07,0xD7EA,0x0D7EA,yes,entry,24,0,,
0x0D7EE,bank0,0xD7EE,cjne,3,0x09,0xD7FA,0x0D7FA,yes,other,24,0,,
0x0D7F4,bank0,0xD7F4,jbc,3,0xF0,0xD7E7,0x0D7E7,yes,entry,0,24,,
0x0D7FA,bank0,0xD7FA,cjne,3,0x1E,0xD81B,0x0D81B,yes,other,24,0,,
0x0D800,bank0,0xD800,jbc,3,0xF0,0xD7F3,0x0D7F3,yes,entry,0,24,,
0x0D806,bank0,0xD806,jbc,3,0xF0,0xD7F9,0x0D7F9,yes,other,0,24,,
0x0D80C,bank0,0xD80C,jbc,3,0xF0,0xD7FF,0x0D7FF,yes,entry,0,24,,
0x0D811,bank0,0xD811,jbc,3,0xF0,0xD804,0x0D804,yes,other,0,24,,
0x0D815,bank0,0xD815,jbc,3,0xF0,0xD808,0x0D808,yes,other,0,24,,
0x0D81B,bank0,0xD81B,cjne,3,0x0B,0xD829,0x0D829,yes,other,24,0,,
0x0D821,bank0,0xD821,jbc,3,0xF0,0xD814,0x0D814,yes,entry,0,24,,
0x0D829,bank0,0xD829,cjne,3,0x05,0xD831,0x0D831,yes,other,24,0,,
0x0D831,bank0,0xD831,cjne,3,0x0B,0xD83F,0x0D83F,yes,other,24,0,,
0x0D835,bank0,0xD835,jbc,3,0xE0,0xD818,0x0D818,yes,entry,0,24,,
0x0D83F,bank0,0xD83F,cjne,3,0x0C,0xD84E,0x0D84E,yes,other,24,0,,
0x0D844,bank0,0xD844,jbc,3,0xF0,0xD837,0x0D837,yes,other,0,24,,
0x0D848,bank0,0xD848,jbc,3,0xF0,0xD83B,0x0D83B,yes,other,0,24,,
0x0D84E,bank0,0xD84E,cjne,3,0x02,0xD853,0x0D853,yes,entry,24,0,,
0x0D851,bank0,0xD851,sjmp,2,0x03,0xD856,0x0D856,yes,entry,22,2,,
0x0D8B1,bank0,0xD8B1,djnz,2,0x65,0xD918,0x0D918,yes,entry,0,24,,
0x0D8B4,bank0,0xD8B4,djnz,2,0x27,0xD8DD,0x0D8DD,yes,other,1,23,,
0x0D8BA,bank0,0xD8BA,djnz,2,0x46,0xD902,0x0D902,yes,entry,0,24,,
0x0D8BD,bank0,0xD8BD,cjne,3,0x90,0xD850,0x0D850,yes,entry,0,24,,
0x0D8BE,bank0,0xD8BE,djnz,2,0x90,0xD850,0x0D850,yes,entry,0,24,,
0x0D8CA,bank0,0xD8CA,jz,2,0x0E,0xD8DA,0x0D8DA,yes,entry,24,0,,
0x0D8CD,bank0,0xD8CD,jb,3,0xE0,0xD8B0,0x0D8B0,yes,entry,0,24,,
0x0D8D0,bank0,0xD8D0,jb,3,0x07,0xD8DA,0x0D8DA,yes,entry,24,0,,
0x0D8F2,bank0,0xD8F2,djnz,2,0xD2,0xD8C6,0x0D8C6,yes,entry,0,24,,
0x0D8F5,bank0,0xD8F5,djnz,2,0xDB,0xD8D2,0x0D8D2,yes,other,1,23,,
