addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x05D8,0,0,0,0,0,0,0
0x05D9,0,0,0,0,0,0,0
0x05DA,0,0,0,0,0,0,0
0x05DB,0,0,0,0,0,0,0
0x05DC,0,0,0,0,0,0,0
0x05DD,0,0,0,0,0,0,0
0x05DE,0,0,0,0,0,0,0
0x05DF,0,0,0,0,0,0,0
0x05E0,1,1,0,0,0,1,0
0x05E1,1,1,0,0,0,1,0
0x05E2,0,0,0,0,0,0,0
0x05E3,1,1,0,0,0,1,0
0x05E4,1,1,0,0,0,1,0
0x05E5,0,0,0,0,0,0,0
0x05E6,0,0,0,0,0,0,0
0x05E7,0,0,0,0,0,0,0
0x05E8,0,0,0,0,0,0,0
0x05E9,0,0,0,0,0,0,0
0x05EA,0,0,0,0,0,0,0
0x05EB,0,0,0,0,0,0,0
0x05EC,0,0,0,0,0,0,0
0x05ED,0,0,0,0,0,0,0
0x05EE,0,0,0,0,0,0,0
0x05EF,0,0,0,0,0,0,0
0x05F0,3,3,0,0,0,3,0
0x05F1,3,3,0,0,0,3,0
0x05F2,2,2,0,0,0,2,0
0x05F3,2,2,0,0,0,2,0
0x05F4,2,2,0,0,0,2,0
0x05F5,2,2,0,0,0,2,0
0x05F6,3,3,0,0,0,3,0
0x05F7,0,0,0,0,0,0,0
0x05F8,0,0,0,0,0,0,0
0x05F9,0,0,0,0,0,0,0
0x05FA,0,0,0,0,0,0,0
0x05FB,0,0,0,0,0,0,0
0x05FC,0,0,0,0,0,0,0
0x05FD,0,0,0,0,0,0,0
0x05FE,0,0,0,0,0,0,0
0x05FF,0,0,0,0,0,0,0
0x0600,2,2,0,0,2,0,0
0x0601,2,2,0,0,2,0,0
0x0602,3,3,0,0,3,0,0
0x0603,2,2,0,0,2,0,0
0x0604,2,2,0,0,2,0,0
0x0605,2,2,0,0,2,0,0
0x0606,4,4,0,0,4,0,0
0x0607,3,3,0,0,3,0,0
0x0608,5,5,0,0,3,2,0
0x0609,3,3,0,0,3,0,0
0x060A,7,7,0,0,2,5,0
0x060B,2,2,0,0,2,0,0
0x060C,3,3,0,0,2,1,0
0x060D,2,2,0,0,2,0,0
0x060E,4,4,0,0,2,2,0
0x060F,2,2,0,0,2,0,0
0x0610,12,12,0,0,10,2,0
0x0611,1,1,0,0,0,1,0
0x0612,0,0,0,0,0,0,0
0x0613,1,1,0,0,0,1,0
0x0614,0,0,0,0,0,0,0
0x0615,1,1,0,0,0,1,0
0x0616,0,0,0,0,0,0,0
0x0617,0,0,0,0,0,0,0
0x0618,0,0,0,0,0,0,0
0x0619,0,0,0,0,0,0,0
0x061A,0,0,0,0,0,0,0
0x061B,0,0,0,0,0,0,0
0x061C,0,0,0,0,0,0,0
0x061D,0,0,0,0,0,0,0
